L1Seed,PileUp,Total,Prescale0,Fired0,
Count,11,1,1,1,
Count,12,1,1,1,
Count,13,6,1,6,
Count,14,13,1,13,
Count,15,40,1,40,
Count,16,61,1,61,
Count,17,131,1,131,
Count,18,196,1,196,
Count,19,369,1,369,
Count,20,554,1,554,
Count,21,894,1,894,
Count,22,1257,1,1257,
Count,23,1801,1,1801,
Count,24,2488,1,2488,
Count,25,3360,1,3360,
Count,26,4212,1,4212,
Count,27,5258,1,5258,
Count,28,6267,1,6267,
Count,29,7494,1,7494,
Count,30,8787,1,8787,
Count,31,10034,1,10034,
Count,32,10822,1,10822,
Count,33,11891,1,11891,
Count,34,12611,1,12611,
Count,35,13494,1,13494,
Count,36,13925,1,13925,
Count,37,14344,1,14344,
Count,38,15075,1,15075,
Count,39,15171,1,15171,
Count,40,15322,1,15322,
Count,41,15535,1,15535,
Count,42,15661,1,15661,
Count,43,15655,1,15655,
Count,44,15636,1,15636,
Count,45,15745,1,15745,
Count,46,15820,1,15820,
Count,47,15553,1,15553,
Count,48,15944,1,15944,
Count,49,16118,1,16118,
Count,50,15778,1,15778,
Count,51,16040,1,16040,
Count,52,15765,1,15765,
Count,53,15927,1,15927,
Count,54,15746,1,15746,
Count,55,15822,1,15822,
Count,56,15842,1,15842,
Count,57,15726,1,15726,
Count,58,15841,1,15841,
Count,59,15676,1,15676,
Count,60,15687,1,15687,
Count,61,15952,1,15952,
Count,62,15417,1,15417,
Count,63,15535,1,15535,
Count,64,15354,1,15354,
Count,65,15273,1,15273,
Count,66,15030,1,15030,
Count,67,14804,1,14804,
Count,68,14539,1,14539,
Count,69,14428,1,14428,
Count,70,13971,1,13971,
Count,71,13525,1,13525,
Count,72,12878,1,12878,
Count,73,12760,1,12760,
Count,74,12151,1,12151,
Count,75,11463,1,11463,
Count,76,10892,1,10892,
Count,77,10048,1,10048,
Count,78,9658,1,9658,
Count,79,8988,1,8988,
Count,80,8117,1,8117,
Count,81,7424,1,7424,
Count,82,6750,1,6750,
Count,83,6092,1,6092,
Count,84,5364,1,5364,
Count,85,4847,1,4847,
Count,86,4343,1,4343,
Count,87,3620,1,3620,
Count,88,3162,1,3162,
Count,89,2849,1,2849,
Count,90,2352,1,2352,
Count,91,1895,1,1895,
Count,92,1693,1,1693,
Count,93,1300,1,1300,
Count,94,1116,1,1116,
Count,95,919,1,919,
Count,96,720,1,720,
Count,97,573,1,573,
Count,98,450,1,450,
Count,99,372,1,372,
Count,100,301,1,301,
Count,101,208,1,208,
Count,102,175,1,175,
Count,103,138,1,138,
Count,104,81,1,81,
Count,105,79,1,79,
Count,106,58,1,58,
Count,107,35,1,35,
Count,108,35,1,35,
Count,109,22,1,22,
Count,110,18,1,18,
Count,111,11,1,11,
Count,112,3,1,3,
Count,113,8,1,8,
Count,114,1,1,1,
Count,115,2,1,2,
Count,116,2,1,2,
Count,117,1,1,1,
Count,118,2,1,2,
L1APhysics,20,554,1,3,
L1APhysics,21,894,1,2,
L1APhysics,22,1257,1,2,
L1APhysics,23,1801,1,9,
L1APhysics,24,2488,1,8,
L1APhysics,25,3360,1,6,
L1APhysics,26,4212,1,8,
L1APhysics,27,5258,1,17,
L1APhysics,28,6267,1,27,
L1APhysics,29,7494,1,32,
L1APhysics,30,8787,1,40,
L1APhysics,31,10034,1,50,
L1APhysics,32,10822,1,43,
L1APhysics,33,11891,1,57,
L1APhysics,34,12611,1,52,
L1APhysics,35,13494,1,80,
L1APhysics,36,13925,1,68,
L1APhysics,37,14344,1,67,
L1APhysics,38,15075,1,95,
L1APhysics,39,15171,1,92,
L1APhysics,40,15322,1,88,
L1APhysics,41,15535,1,111,
L1APhysics,42,15661,1,98,
L1APhysics,43,15655,1,122,
L1APhysics,44,15636,1,128,
L1APhysics,45,15745,1,130,
L1APhysics,46,15820,1,121,
L1APhysics,47,15553,1,140,
L1APhysics,48,15944,1,141,
L1APhysics,49,16118,1,161,
L1APhysics,50,15778,1,168,
L1APhysics,51,16040,1,156,
L1APhysics,52,15765,1,149,
L1APhysics,53,15927,1,151,
L1APhysics,54,15746,1,173,
L1APhysics,55,15822,1,197,
L1APhysics,56,15842,1,168,
L1APhysics,57,15726,1,192,
L1APhysics,58,15841,1,178,
L1APhysics,59,15676,1,187,
L1APhysics,60,15687,1,207,
L1APhysics,61,15952,1,190,
L1APhysics,62,15417,1,216,
L1APhysics,63,15535,1,221,
L1APhysics,64,15354,1,196,
L1APhysics,65,15273,1,216,
L1APhysics,66,15030,1,244,
L1APhysics,67,14804,1,230,
L1APhysics,68,14539,1,255,
L1APhysics,69,14428,1,259,
L1APhysics,70,13971,1,247,
L1APhysics,71,13525,1,231,
L1APhysics,72,12878,1,239,
L1APhysics,73,12760,1,244,
L1APhysics,74,12151,1,218,
L1APhysics,75,11463,1,229,
L1APhysics,76,10892,1,222,
L1APhysics,77,10048,1,206,
L1APhysics,78,9658,1,213,
L1APhysics,79,8988,1,214,
L1APhysics,80,8117,1,171,
L1APhysics,81,7424,1,155,
L1APhysics,82,6750,1,159,
L1APhysics,83,6092,1,145,
L1APhysics,84,5364,1,112,
L1APhysics,85,4847,1,113,
L1APhysics,86,4343,1,99,
L1APhysics,87,3620,1,84,
L1APhysics,88,3162,1,75,
L1APhysics,89,2849,1,85,
L1APhysics,90,2352,1,58,
L1APhysics,91,1895,1,47,
L1APhysics,92,1693,1,48,
L1APhysics,93,1300,1,49,
L1APhysics,94,1116,1,26,
L1APhysics,95,919,1,24,
L1APhysics,96,720,1,21,
L1APhysics,97,573,1,26,
L1APhysics,98,450,1,14,
L1APhysics,99,372,1,14,
L1APhysics,100,301,1,12,
L1APhysics,101,208,1,7,
L1APhysics,102,175,1,6,
L1APhysics,103,138,1,6,
L1APhysics,104,81,1,2,
L1APhysics,105,79,1,2,
L1APhysics,106,58,1,6,
L1APhysics,107,35,1,1,
L1APhysics,108,35,1,2,
L1APhysics,109,22,1,1,
L1APhysics,110,18,1,1,
L1APhysics,113,8,1,1,
L1APhysics,116,2,1,1,
L1_AlwaysTrue,11,1,0,0,
L1_AlwaysTrue,12,1,0,0,
L1_AlwaysTrue,13,6,0,0,
L1_AlwaysTrue,14,13,0,0,
L1_AlwaysTrue,15,40,0,0,
L1_AlwaysTrue,16,61,0,0,
L1_AlwaysTrue,17,131,0,0,
L1_AlwaysTrue,18,196,0,0,
L1_AlwaysTrue,19,369,0,0,
L1_AlwaysTrue,20,554,0,0,
L1_AlwaysTrue,21,894,0,0,
L1_AlwaysTrue,22,1257,0,0,
L1_AlwaysTrue,23,1801,0,0,
L1_AlwaysTrue,24,2488,0,0,
L1_AlwaysTrue,25,3360,0,0,
L1_AlwaysTrue,26,4212,0,0,
L1_AlwaysTrue,27,5258,0,0,
L1_AlwaysTrue,28,6267,0,0,
L1_AlwaysTrue,29,7494,0,0,
L1_AlwaysTrue,30,8787,0,0,
L1_AlwaysTrue,31,10034,0,0,
L1_AlwaysTrue,32,10822,0,0,
L1_AlwaysTrue,33,11891,0,0,
L1_AlwaysTrue,34,12611,0,0,
L1_AlwaysTrue,35,13494,0,0,
L1_AlwaysTrue,36,13925,0,0,
L1_AlwaysTrue,37,14344,0,0,
L1_AlwaysTrue,38,15075,0,0,
L1_AlwaysTrue,39,15171,0,0,
L1_AlwaysTrue,40,15322,0,0,
L1_AlwaysTrue,41,15535,0,0,
L1_AlwaysTrue,42,15661,0,0,
L1_AlwaysTrue,43,15655,0,0,
L1_AlwaysTrue,44,15636,0,0,
L1_AlwaysTrue,45,15745,0,0,
L1_AlwaysTrue,46,15820,0,0,
L1_AlwaysTrue,47,15553,0,0,
L1_AlwaysTrue,48,15944,0,0,
L1_AlwaysTrue,49,16118,0,0,
L1_AlwaysTrue,50,15778,0,0,
L1_AlwaysTrue,51,16040,0,0,
L1_AlwaysTrue,52,15765,0,0,
L1_AlwaysTrue,53,15927,0,0,
L1_AlwaysTrue,54,15746,0,0,
L1_AlwaysTrue,55,15822,0,0,
L1_AlwaysTrue,56,15842,0,0,
L1_AlwaysTrue,57,15726,0,0,
L1_AlwaysTrue,58,15841,0,0,
L1_AlwaysTrue,59,15676,0,0,
L1_AlwaysTrue,60,15687,0,0,
L1_AlwaysTrue,61,15952,0,0,
L1_AlwaysTrue,62,15417,0,0,
L1_AlwaysTrue,63,15535,0,0,
L1_AlwaysTrue,64,15354,0,0,
L1_AlwaysTrue,65,15273,0,0,
L1_AlwaysTrue,66,15030,0,0,
L1_AlwaysTrue,67,14804,0,0,
L1_AlwaysTrue,68,14539,0,0,
L1_AlwaysTrue,69,14428,0,0,
L1_AlwaysTrue,70,13971,0,0,
L1_AlwaysTrue,71,13525,0,0,
L1_AlwaysTrue,72,12878,0,0,
L1_AlwaysTrue,73,12760,0,0,
L1_AlwaysTrue,74,12151,0,0,
L1_AlwaysTrue,75,11463,0,0,
L1_AlwaysTrue,76,10892,0,0,
L1_AlwaysTrue,77,10048,0,0,
L1_AlwaysTrue,78,9658,0,0,
L1_AlwaysTrue,79,8988,0,0,
L1_AlwaysTrue,80,8117,0,0,
L1_AlwaysTrue,81,7424,0,0,
L1_AlwaysTrue,82,6750,0,0,
L1_AlwaysTrue,83,6092,0,0,
L1_AlwaysTrue,84,5364,0,0,
L1_AlwaysTrue,85,4847,0,0,
